passenger_count,trip_distance,RatecodeID,total_amount,trip_duration,pickup_borough_Brooklyn,pickup_borough_EWR,pickup_borough_Manhattan,pickup_borough_Queens,pickup_borough_Staten Island,pickup_borough_Unknown,dropoff_borough_Brooklyn,dropoff_borough_EWR,dropoff_borough_Manhattan,dropoff_borough_Queens,dropoff_borough_Staten Island,dropoff_borough_Unknown,payment_type
5,11.04,1.0,40.86,26.03333333333333,False,False,False,True,False,False,False,False,False,True,False,False,1
1,1.7,1.0,17.16,14.45,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.3,1.0,12.42,8.283333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.65,1.0,13.56,7.333333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.8,1.0,11.75,4.766666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,16.0,13.116666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
2,2.53,1.0,18.3,14.9,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.26,1.0,27.96,28.616666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.66,1.0,14.3,10.15,False,False,True,False,False,False,False,False,True,False,False,False,1
1,14.86,2.0,66.85,55.53333333333333,False,False,False,True,False,False,False,False,True,False,False,False,1
2,3.81,1.0,22.3,19.0,False,False,True,False,False,False,False,False,False,True,False,False,1
2,3.19,1.0,20.16,15.583333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.88,1.0,17.76,13.516666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.4,1.0,16.55,9.916666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
2,8.8,1.0,45.6,31.466666666666665,False,False,False,True,False,False,False,False,True,False,False,False,1
1,17.63,2.0,74.22,39.73333333333333,False,False,False,True,False,False,False,False,True,False,False,False,1
5,0.97,1.0,10.12,5.383333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
2,19.02,2.0,68.6,76.08333333333333,False,False,False,True,False,False,False,False,True,False,False,False,1
1,2.25,1.0,14.16,14.55,False,False,False,True,False,False,False,False,False,True,False,False,1
1,0.61,1.0,10.56,4.283333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.04,1.0,11.44,5.366666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.8,1.0,31.56,31.416666666666668,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.8,1.0,14.76,10.5,False,False,True,False,False,False,False,False,True,False,False,False,1
1,5.16,1.0,22.77,12.466666666666669,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.75,1.0,18.96,15.966666666666669,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.51,1.0,20.76,17.533333333333335,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.1,1.0,14.3,14.883333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
2,5.0,1.0,36.0,37.23333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.91,1.0,13.56,6.716666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,14.75,12.316666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.7,1.0,9.96,4.316666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.89,1.0,10.56,5.533333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,10.51,1.0,49.01,46.766666666666666,False,False,False,True,False,False,True,False,False,False,False,False,1
1,2.31,1.0,20.76,20.466666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
2,4.5,1.0,38.7,40.4,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.5,1.0,16.0,11.883333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.8,1.0,13.8,9.233333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.68,1.0,10.14,1.6166666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.43,1.0,15.36,13.05,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.3,1.0,20.75,20.866666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,17.4,2.0,73.5,50.16666666666666,False,False,False,True,False,False,False,False,True,False,False,False,1
1,2.23,1.0,16.3,16.733333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
3,1.22,1.0,12.96,7.5,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.2,1.0,10.4,7.433333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.99,1.0,12.36,6.45,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,15.35,11.65,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.01,1.0,19.13,10.866666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.12,1.0,16.3,11.25,False,False,True,False,False,False,False,False,True,False,False,False,1
2,1.79,1.0,15.96,12.05,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.8,1.0,15.35,9.5,False,False,True,False,False,False,False,False,True,False,False,False,1
1,4.7,1.0,25.8,29.966666666666665,False,False,True,False,False,False,False,False,True,False,False,False,1
